name,link,description
Enhancing Diversity and Inclusivity in Acquisitions,https://www.eventbrite.com/e/enhancing-diversity-and-inclusivity-in-acquisitions-tickets-836322973527?aff=ebdssbcitybrowse,
7th Annual MCPL Rang Aur Patang Utsav 2024,https://www.eventbrite.com/e/7th-annual-mcpl-rang-aur-patang-utsav-2024-tickets-843556398897?aff=ebdssbcitybrowse,
I Got Away - Washington DC,https://www.eventbrite.com/e/i-got-away-washington-dc-tickets-863121478577?aff=ebdssbcitybrowse,
Maryland Deathfest XIX,https://www.eventbrite.com/e/maryland-deathfest-xix-tickets-520348395057?aff=ebdssbcitybrowse,
SummerFest w/Eric Bellinger DCVybe Top5 Secret Society Sirius Co Bela Dona,https://www.eventbrite.com/e/summerfest-weric-bellinger-dcvybe-top5-secret-society-sirius-co-bela-dona-tickets-769412101307?aff=ebdssbcitybrowse,
"""The Patio"" at Dirty Habit",https://www.eventbrite.com/e/the-patio-at-dirty-habit-tickets-876325020727?aff=ebdssbcitybrowse,
SOUTHERN SOUL GOGO AND R&B CONCERT AND A BIG CAR SHOW,https://www.eventbrite.com/e/southern-soul-gogo-and-rb-concert-and-a-big-car-show-tickets-781596826147?aff=ebdssbcitybrowse,
2024 Maryland Sheep & Wool Festival,https://www.eventbrite.com/e/2024-maryland-sheep-wool-festival-tickets-824512197177?aff=ebdssbcitybrowse,
Understanding Intergenerational Trauma [Free Webinar],https://www.eventbrite.com/e/understanding-intergenerational-trauma-free-webinar-tickets-845016957467?aff=ebdssbcitybrowse,
Career Fair: Exclusive Tech Hiring Event-New Tickets Available,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497?aff=ebdssbcitybrowse,
Poetry & the Creative Mind — a National Poetry Month gala fundraiser,https://www.eventbrite.com/e/poetry-the-creative-mind-a-national-poetry-month-gala-fundraiser-registration-861695393117?aff=ebdssbcitybrowse,
"Measuring Development 2024 | AI, the Next Generation (Virtual)",https://www.eventbrite.com/e/measuring-development-2024-ai-the-next-generation-virtual-tickets-852312608957?aff=ebdssbcitybrowse,
NASA’s Boeing Starliner Crew Flight Test,https://www.eventbrite.com/e/nasas-boeing-starliner-crew-flight-test-registration-523750591117?aff=ebdssbcitybrowse,
Tech Career Fair: Exclusive Tech Hiring Event (New slots available),https://www.eventbrite.com/e/tech-career-fair-exclusive-tech-hiring-event-new-slots-available-tickets-146564621729,
"Measuring Development 2024 | AI, the Next Generation (In Person)",https://www.eventbrite.com/e/measuring-development-2024-ai-the-next-generation-in-person-tickets-851883074207?aff=oddtdtcreator,
"Measuring Development 2024 | AI, the Next Generation (Virtual)",https://www.eventbrite.com/e/measuring-development-2024-ai-the-next-generation-virtual-tickets-852312608957?aff=oddtdtcreator,
